iter	Passed	Remaining
0	64	64344
1	71	35737
2	77	25719
3	83	20743
4	89	17770
5	95	15832
6	103	14650
7	109	13564
8	115	12709
9	121	12027
10	127	11508
11	135	11138
12	143	10913
13	151	10689
14	159	10477
15	167	10316
16	175	10163
17	183	10001
18	190	9847
19	198	9708
20	205	9577
21	213	9469
22	220	9363
23	228	9272
24	235	9187
25	242	9084
26	249	8989
27	257	8928
28	264	8845
29	271	8783
30	278	8703
31	285	8644
32	293	8587
33	300	8535
34	307	8477
35	314	8417
36	321	8380
37	329	8334
38	336	8289
39	343	8255
40	351	8222
41	358	8186
42	366	8149
43	373	8110
44	380	8079
45	388	8059
46	398	8083
47	406	8059
48	413	8029
49	420	7998
50	428	7979
51	436	7953
52	443	7925
53	450	7891
54	459	7891
55	468	7895
56	476	7876
57	483	7856
58	490	7830
59	498	7812
60	505	7785
61	512	7760
62	520	7742
63	528	7722
64	535	7704
65	543	7688
66	550	7664
67	557	7643
68	566	7638
69	573	7624
70	581	7605
71	589	7592
72	596	7580
73	604	7562
74	612	7548
75	619	7529
76	627	7518
77	634	7501
78	642	7487
79	648	7460
80	656	7449
81	663	7430
82	671	7415
83	678	7401
84	686	7387
85	693	7369
86	700	7355
87	707	7336
88	714	7317
89	722	7303
90	729	7290
91	736	7273
92	744	7260
93	751	7245
94	758	7228
95	766	7218
96	773	7204
97	783	7214
98	791	7204
99	798	7190
100	806	7181
101	814	7174
102	822	7161
103	830	7151
104	837	7137
105	844	7122
106	851	7109
107	859	7099
108	867	7090
109	874	7077
110	882	7063
111	888	7043
112	895	7032
113	901	7005
114	908	6993
115	916	6981
116	924	6976
117	932	6969
118	940	6964
119	948	6959
120	956	6947
121	963	6934
122	970	6922
123	978	6911
124	986	6905
125	993	6893
126	1001	6881
127	1008	6871
128	1015	6857
129	1023	6848
130	1030	6837
131	1038	6826
132	1044	6808
133	1050	6788
134	1057	6775
135	1064	6763
136	1071	6750
137	1078	6737
138	1085	6726
139	1092	6713
140	1100	6704
141	1108	6697
142	1116	6690
143	1124	6684
144	1132	6680
145	1141	6676
146	1149	6670
147	1157	6664
148	1165	6655
149	1173	6649
150	1183	6655
151	1192	6652
152	1200	6646
153	1208	6640
154	1216	6630
155	1223	6620
156	1231	6611
157	1238	6601
158	1247	6600
159	1255	6592
160	1263	6584
161	1270	6574
162	1278	6562
163	1285	6551
164	1292	6542
165	1299	6531
166	1307	6521
167	1314	6510
168	1323	6507
169	1330	6497
170	1338	6487
171	1345	6475
172	1352	6467
173	1360	6456
174	1367	6445
175	1375	6437
176	1382	6428
177	1390	6420
178	1397	6411
179	1406	6405
180	1414	6398
181	1422	6392
182	1429	6384
183	1437	6376
184	1446	6374
185	1455	6371
186	1464	6368
187	1472	6361
188	1480	6353
189	1488	6346
190	1496	6339
191	1504	6332
192	1512	6323
193	1519	6313
194	1526	6303
195	1534	6293
196	1541	6283
197	1548	6273
198	1556	6263
199	1563	6253
200	1572	6252
201	1580	6241
202	1586	6227
203	1592	6212
204	1599	6201
205	1606	6192
206	1613	6182
207	1621	6172
208	1628	6161
209	1635	6152
210	1643	6145
211	1650	6136
212	1658	6127
213	1665	6118
214	1672	6108
215	1680	6098
216	1687	6089
217	1694	6079
218	1702	6070
219	1710	6064
220	1718	6056
221	1725	6046
222	1732	6038
223	1740	6029
224	1748	6021
225	1755	6012
226	1762	6002
227	1770	5993
228	1777	5984
229	1784	5975
230	1792	5966
231	1799	5956
232	1807	5948
233	1814	5940
234	1822	5931
235	1829	5922
236	1837	5914
237	1844	5905
238	1851	5896
239	1859	5887
240	1867	5879
241	1874	5870
242	1881	5861
243	1888	5852
244	1896	5844
245	1904	5835
246	1911	5828
247	1919	5819
248	1926	5811
249	1934	5802
250	1941	5792
251	1948	5784
252	1958	5781
253	1967	5778
254	1975	5771
255	1982	5762
256	1990	5754
257	1997	5745
258	2005	5737
259	2012	5728
260	2019	5718
261	2027	5709
262	2034	5701
263	2041	5692
264	2049	5684
265	2056	5675
266	2063	5665
267	2070	5655
268	2077	5645
269	2084	5637
270	2092	5628
271	2100	5622
272	2108	5615
273	2117	5610
274	2125	5603
275	2133	5597
276	2141	5589
277	2149	5582
278	2157	5576
279	2165	5568
280	2173	5560
281	2180	5551
282	2187	5542
283	2195	5534
284	2201	5524
285	2209	5516
286	2217	5508
287	2224	5500
288	2232	5491
289	2240	5485
290	2248	5478
291	2256	5470
292	2263	5461
293	2270	5452
294	2278	5444
295	2285	5435
296	2292	5426
297	2300	5418
298	2308	5411
299	2315	5403
300	2323	5394
301	2330	5386
302	2337	5376
303	2344	5368
304	2353	5362
305	2360	5354
306	2368	5345
307	2375	5336
308	2382	5328
309	2389	5319
310	2397	5311
311	2404	5302
312	2412	5294
313	2419	5285
314	2426	5277
315	2434	5269
316	2441	5261
317	2448	5251
318	2456	5243
319	2462	5233
320	2470	5225
321	2478	5217
322	2486	5211
323	2494	5204
324	2501	5195
325	2509	5188
326	2517	5181
327	2525	5174
328	2532	5165
329	2540	5157
330	2547	5149
331	2554	5140
332	2562	5132
333	2569	5124
334	2579	5119
335	2586	5111
336	2593	5102
337	2600	5093
338	2607	5084
339	2615	5076
340	2622	5068
341	2630	5060
342	2637	5052
343	2645	5044
344	2652	5036
345	2659	5027
346	2667	5019
347	2674	5010
348	2681	5002
349	2689	4994
350	2696	4985
351	2703	4977
352	2711	4969
353	2722	4968
354	2728	4957
355	2736	4949
356	2742	4938
357	2748	4929
358	2755	4920
359	2762	4911
360	2769	4902
361	2776	4893
362	2783	4885
363	2791	4876
364	2798	4868
365	2805	4860
366	2813	4852
367	2820	4843
368	2827	4835
369	2835	4827
370	2842	4819
371	2850	4811
372	2857	4803
373	2864	4794
374	2872	4787
375	2879	4778
376	2886	4770
377	2894	4762
378	2901	4753
379	2908	4746
380	2916	4737
381	2923	4729
382	2930	4720
383	2937	4712
384	2944	4703
385	2951	4695
